id,lat,lon,name,num_arribos,num_retiros,act
163,19.405245999999998,-99.15643100000001,163 TOLUCA-BAJÍO,2185.0,1778.0,3963.0
164,19.403204000000002,-99.16596,164 BAJÍO-TLACOTALPAN,2026.0,1973.0,3999.0
165,19.404268,-99.160503,165 BAJÍO-EJE 2 PTE. MONTERREY,1672.0,1729.0,3401.0
166,19.406069,-99.183549,166 PROGRESO-CDA. ANTONIO MACEO,1348.0,1584.0,2932.0
167,19.404651,-99.179375,167 GENERAL SALVADOR ALVARADO-PROGRESO,1710.0,1937.0,3647.0
168,19.403997,-99.1776,168 COMERCIO-PROGRESO,1363.0,1449.0,2812.0
169,19.403019,-99.174934,169 PROSPERIDAD-PROGRESO,1768.0,1784.0,3552.0
170,19.404029,-99.184342,170 OBSERVATORIO ORIENTE-REVOLUCIÓN,1396.0,1494.0,2890.0
171,19.402584,-99.17819899999999,171 COMERCIO-JOSE MARTÍ,1372.0,1504.0,2876.0
172,19.4034921,-99.18160019999999,172 GENERAL FRANCISCO MURGUIA-JOSE MARTÍ,1165.0,1111.0,2276.0
173,19.401682,-99.17639799999999,173 MINERÍA-JOSÉ MARTÍ,1094.0,1336.0,2430.0
174,19.441110000000002,-99.16164,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,4022.0,4020.0,8042.0
175,19.400767000000002,-99.172533,E175 MUTUALISMO-JOSÉ MARTí,677.0,685.0,1362.0
176,19.442689,-99.152286,176 AV. JESÜS GARCÏA-LUIS DONALDO COLOSIO,1226.0,846.0,2072.0
177,19.408841,-99.181692,177 BENJAMIN HILL-CARLOS ZETINA,1505.0,1703.0,3208.0
178,19.406833,-99.18045699999999,178 TAMAULIPAS-FRANCISCO MURGUÍA,1878.0,1671.0,3549.0
179,19.404452,-99.171438,179 NUEVO LEÓN-QUINTANA ROO,1512.0,1698.0,3210.0
180,19.404554,-99.169953,180 QUINTANA ROO-VILLA HERMOSA,1964.0,2000.0,3964.0
181,19.40472,-99.17448,181 BENJAMIN FRANKLIN-OMETUSCO,1583.0,1549.0,3132.0
182,19.402089,-99.17139,182 PROGRESO-ASTRONOMOS,4723.0,4255.0,8978.0
183,19.43767,-99.16402,183 GABINO BARRERA-GUILLERMO PRIETO,2483.0,2563.0,5046.0
184,19.41479,-99.18508,184 GRAL GÓMEZ PEDRAZA-GOBERNADOR TIBURCIO M,1295.0,1110.0,2405.0
185,19.4128,-99.1828,185 GRAL ANTONIO LÉON-GRAL PEDRO A DE LOS S.,1970.0,1863.0,3833.0
186,19.412429100000004,-99.1885117,186 GREGORIO V GELATI-FRANCISCO MOLINOS DEL C,1621.0,1802.0,3423.0
187,19.41123,-99.18551,187 GENERAL CANO-GOBERNADOR GREGORIO V GELATI,1937.0,1991.0,3928.0
188,19.41171,-99.19014,188 GDOR MELCHOR MÚZQUIZ-GDOR IGNACIO ESTEVA ,1062.0,1348.0,2410.0
189,19.41004,-99.18798000000001,189 GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS,741.0,1044.0,1785.0
190,19.409569,-99.18383299999999,E190 GDOR IGNACIO ESTEVA-MTRO JOSÉ VASCONCELOS,818.0,832.0,1650.0
191,19.4079,-99.18795,191 GDOR RAFAEL REBOLLAR-GDOR VICENTE EGUIA,961.0,1301.0,2262.0
192,19.42592,-99.19075500000001,192 RUBEN DARIO-REFORMA,1410.0,1542.0,2952.0
193,19.425907000000002,-99.190733,193 RUBEN DARIO-REFORMA,1215.0,1714.0,2929.0
194,19.424282,-99.180334,194 CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA,2586.0,2865.0,5451.0
195,19.424926,-99.185147,195 AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI,1095.0,1238.0,2333.0
196,19.438349,-99.192904,196 LAGO TANGANICA-AV. EJERCITO NACIONAL,740.0,764.0,1504.0
197,19.440077,-99.204316,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,2424.0,2375.0,4799.0
198,19.438168,-99.203888,198 SÓCRATES-EJERCITO NACIONAL ,1024.0,1052.0,2076.0
199,19.437934,-99.197241,199 ANATOLE FRANCE-AV. EJERCITO NACIONAL,631.0,723.0,1354.0
200,19.437596,-99.188785,200 EMERSON-AV. EJERCITO NACIONAL,1286.0,1376.0,2662.0
201,19.437431,-99.18721500000001,201 LOPE DE VEGA-EJERCITO NACIONAL ,940.0,998.0,1938.0
202,19.43617,-99.198943,202 CALDERON DE LA BARCA-AV. HOMERO,746.0,722.0,1468.0
203,19.435985000000002,-99.19483199999999,203 TENNYSON-AV. HOMERO,488.0,638.0,1126.0
204,19.435882,-99.19152,204 TEMISTOCLES-HOMERO,994.0,1442.0,2436.0
205,19.435525,-99.184713,205 TAINE-HOMERO,1703.0,1693.0,3396.0
206,19.435798000000002,-99.201419,206 MOLIERE-HOMERO ,2209.0,2270.0,4479.0
207,19.434860999999998,-99.183322,207 TASSO-HOMERO ,1284.0,1232.0,2516.0
208,19.434182,-99.189835,208 HESIODO-LAMARTINE ,2971.0,3540.0,6511.0
209,19.435478,-99.20635899999999,209 SOLON-HORACIO ,1369.0,1366.0,2735.0
210,19.434076,-99.194091,210 EUGENIO SUE-HORACIO ,971.0,1512.0,2483.0
