id,lat,lon,name
287,19.398946,-99.183254,287 13 DE SEPTIEMBRE-PUENTE DE LA MORENA
288,19.396333,-99.183575,288 11 DE ABRIL-AVENIDA 2
289,19.397308,-99.174548,289 CHICAGO-YOSEMITE
290,19.396333,-99.172667,290 YOSEMITE-COLORADO
291,19.397651,-99.169946,291 MAGDALENA-DIVISIÓN DEL NORTE
292,19.396917,-99.166264,292 ADOLFO PRIETO-EJE 4 SUR XOLA
293,19.397373,-99.164598,293 MIER Y PESADO-EJE 4 SUR XOLA
294,19.396513,-99.160924,294 NICOLÁS SAN JUAN-EJE 4 SUR XOLA
295,19.396328,-99.156871,295 ANAXÁGORAS-EJE 4 SUR XOLA
296,19.394283,-99.158756,E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN
297,19.394412,-99.158907,297 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN
298,19.394073,-99.16214,298 ROMERO DE TERREROS-GABRIEL MANCERA
299,19.394601,-99.165054,299 ROMERO DE TERREROS-MIER Y PESADO
300,19.393268,-99.168333,E300 PROVIDENCIA -LUZ SAVIÑON
301,19.393807,-99.171133,301 LUZ SAVIÑÓN-MAGDALENA
302,19.393832,-99.171466,302 LUZ SAVIÑON-MAGDALENA
303,19.394842,-99.173025,303 MONTESITO-AV. INSURGENTES
304,19.395043,-99.173821,304 MONTESITO-DAKOTA
305,19.394693,-99.175531,305 AVENIDA DEL PARQUE-ARIZONA
306,19.393699,-99.175664,306 DAKOTA-FILADELFIA
307,19.393701,-99.175834,307 MINESOTA-DAKOTA
308,19.393594,-99.178072,308 NUEVA YORK-ARIZONA
309,19.393162,-99.17956,309 PENNSYLVANIA-ARIZONA
310,19.395319,-99.181733,310 CALLE 1-AV. PATRIOTISMO
311,19.393665,-99.185391,311 CALLE 5-AVENIDA REVOLUCIÓN
312,19.392634,-99.183737,312 AVENIDA 2-CALLE 7
313,19.391431,-99.178989,313 PENNSYLVANIA-OKLAHOMA
314,19.391647,-99.177331,314 NUERVA YORK-LOUISIANA
315,19.391472,-99.1736,315 ALABAMA-MONTANA
